,floor,best_fit_name,best_fit_params
0,1,halflogistic,"(-1.5317091808586742e-11, 1469.2305733226835)"
1,2,genhalflogistic,"(2.2418474752841577e-11, -6.901153572875105e-05, 687.3763164384751)"
2,3,gompertz,"(6238583267085.484, -1.649718621670952e-11, 8525241971884481.0)"
3,4,halfnorm,"(-2.0276901337215733e-11, 1948.881801080022)"
4,5,gompertz,"(1939950044272.501, -4.1029626819034704e-10, 9250115106342134.0)"
5,6,halfnorm,"(-1.3782661948718826e-10, 4502.7740238194065)"
6,7,halflogistic,"(-8.991326114963836e-10, 624.7833502255467)"
7,8,halflogistic,"(-8.382135261888488e-11, 619.2834121601204)"
8,9,halflogistic,"(-2.981075341595427e-11, 632.2858021737811)"
9,10,halflogistic,"(-7.676568264608101e-12, 678.1354292602437)"
10,11,halflogistic,"(-1.2140440601143757e-11, 1111.6030583328238)"
